5kJYTUtFUJT24dWNs6eW8w,four peaks hopknot yo!,JR95uaM82xBUIZ-kQ785iA,0,2011-07-07,tip
5kJYTUtFUJT24dWNs6eW8w,az stronghold!,JR95uaM82xBUIZ-kQ785iA,0,2011-07-16,tip
5kJYTUtFUJT24dWNs6eW8w,hopknot FTW!,JR95uaM82xBUIZ-kQ785iA,0,2011-07-21,tip
5kJYTUtFUJT24dWNs6eW8w,hopknot!,JR95uaM82xBUIZ-kQ785iA,0,2011-07-30,tip
5kJYTUtFUJT24dWNs6eW8w,hop knot!,JR95uaM82xBUIZ-kQ785iA,0,2011-08-11,tip
5kJYTUtFUJT24dWNs6eW8w,hop knot ftw,JR95uaM82xBUIZ-kQ785iA,0,2011-09-08,tip
5kJYTUtFUJT24dWNs6eW8w,"suck it, matt genova.",JR95uaM82xBUIZ-kQ785iA,0,2011-09-15,tip
5kJYTUtFUJT24dWNs6eW8w,hopknot!,JR95uaM82xBUIZ-kQ785iA,0,2011-09-30,tip
5kJYTUtFUJT24dWNs6eW8w,hopknot yo,JR95uaM82xBUIZ-kQ785iA,0,2011-10-12,tip
5kJYTUtFUJT24dWNs6eW8w,chucky!,JR95uaM82xBUIZ-kQ785iA,0,2011-12-02,tip
XTFE2ERq7YvaqGUgQYzVNA,Easy valet!,JR95uaM82xBUIZ-kQ785iA,0,2011-12-08,tip
kW_ZgAKjHXSmKaYoEIFdUg,Great place to grab a drink while waiting for your table next door!,JR95uaM82xBUIZ-kQ785iA,0,2012-03-03,tip
5kJYTUtFUJT24dWNs6eW8w,im the douche!,JR95uaM82xBUIZ-kQ785iA,0,2012-03-07,tip
4UUIpbOTPmu43wuC2aSGkg,Drinks before a short wait at Pizzeria Bianco.,JR95uaM82xBUIZ-kQ785iA,0,2012-03-20,tip
5kJYTUtFUJT24dWNs6eW8w,tha dook!,JR95uaM82xBUIZ-kQ785iA,0,2012-03-30,tip
34gJ_KlP3RM6jotNT6TcDQ,Drinks before the yelp event!,JR95uaM82xBUIZ-kQ785iA,0,2012-04-26,tip
