2011-07,,7,"[u'nBXMQ4Hpn4iwwyzxBUgPOw', u'0y0xi9Mb0b0PnJhUAb564A', u'e4n3Fz2QyGju49mtuaD-jA']",,,0,,user,,,,3.67,,[],Veronica,uRSZnQGpU6iO-BH2ixStnA,1,,1,,,9
2011-09,,4,[],,,0,,user,,,,1.8,,[],Hollye,E0IEdhnqzoBDwxhzCbQ6ig,0,,2,,,13
2011-10,1,58,[],,1,0,,user,,2,,3.85,,"[2014, 2015]",Missy,-4otS1vqJ7L8UNJo5j_zWA,7,,13,,,41
2011-10,,2,[],,,0,,user,,,,5.0,,[],AysiaJanel,awhEEuZngA2Ta2988YrsaA,0,,0,,,0
2011-11,,32,"[u'daNPG_yBQa5HrJ0djnAbDQ', u'VlMTcr99IXpqBKBH5rg1VA', u'FmAOs91jpV-yh1HfBrkSkw']",,,0,,user,,,,3.59,,[],Brian,Af64X7Pn4pR0DF057fK47g,6,,6,,,23
2012-01,,11,[],,3,1,,user,,1,,2.91,,[],Anastasia,14tehgfyLhf12XPL_qj55A,4,,3,,,9
2012-01,6,380,"[u'_hyY8DGw9kNpdXLVSn8OeA', u'mxwQi0rr25dIvHUaCs7EFQ', u'-ANkfLbDf8aiBQ7vywIL6w', u'ldq8xRTQ3ecXB0yGceXU1g', u'r8xfTpifZ7gP5Cd5CSQaIQ', u'AZuSSh8xMwLtoapGa02WZQ', u'jOdmuH4kPZUfWH0--IIvLA', u'YN3sv32NMKfcNDA5BDRlHw', u'PkZzbg8KUgznRxx11fCVrQ', u'iRBQDo1CdUoGyipg096WiQ', u'w_oZKFqqNa6BCJ0U-QicwQ', u'WEHAJ0Ad6ywzk9JHO6Oxuw', u'fGBQXv5-9eRBjwhm_EL2jQ', u'E2DYTWOVSptFJqM7jckPpg', u'2bAbL28lhrnyOlYiZ8yMdg', u'HnxhB37MFl-WFCzc6hn4cg', u'eYhBgHPVDiQTpnAWlabLdw', u'gbRmUH3e38o7fUM9JmoOSA', u'W5HMbgOcRYVOFo6sKuirGw', u'gmokXe_gkbqYuI6G0IjLBg', u'H-BcwZd54EeRqZzfSjfwIA', u'I3Udmkz5H_T489--klBTtA', u'dL95PQxBQhXJhzdDUXQzHA', u'gZVmEHLCwCMnrLeDBB3Sbw', u'0YMD5Tqu67EebA6f6nLRnQ', u'iM3q8DBX7EA7zGU-11Dhug', u'daJeWOcNdNiHXN5BnMLzCw']",4,12,13,10,user,13,18,2,4.01,2,"[2012, 2013, 2014, 2015]",Lauren,kgLpsUPsK2cXp-sD2EeMcw,307,3,266,6,7,572
2012-06,,5,[],,,0,,user,,,,1.8,,[],Aj,4Yttiny6-jH0XVmnuIEB6A,0,,5,,,4
2012-07,,10,[],,,0,,user,,,,4.2,,[],Mary,bE9ssMxmhBwiXGxLpd69DA,0,,0,,,0
2012-11,,8,[],,,0,,user,,,,4.5,,[],Mina,utfYqViEIt6GSKxmyvbTyA,2,,0,,,10
